品质,工作要求,工作要求
[21],"[32, 29, 30, 39]","[90, 86, 63]"
"[0, 21]",[29],"[57, 82, 86, 63]"
"[0, 21, 14]",[29],"[90, 63]"
[],[],[63]
"[0, 3, 8, 12, 14, 21]",[40],"[81, 84, 85, 63]"
"[16, 3, 4]","[32, 29, 31]",[90]
[21],"[29, 39]",[63]
"[0, 6, 11, 13, 21]","[32, 35, 38, 39, 40, 29]","[62, 63]"
"[0, 2, 3, 21, 26]",[31],"[90, 84, 63]"
"[0, 4, 21, 23]",[28],[63]
"[0, 3, 21, 6]",[40],[63]
"[16, 0, 3]",[31],[64]
"[8, 3, 21]","[32, 29, 30, 31]",[85]
"[8, 4, 12, 21]","[29, 31]","[90, 63]"
"[11, 21]",[28],[85]
"[4, 13]","[35, 31]","[65, 63]"
[],[],[63]
"[8, 26, 4, 21]","[32, 29]","[90, 68, 63]"
"[0, 3, 4, 10, 12, 18, 21]","[40, 31, 29, 39]",[63]
"[0, 12, 4, 21]","[29, 30, 39]","[90, 63]"
[],"[29, 30, 39]",[86]
"[0, 4, 21]","[28, 29, 30, 31]",[]
"[8, 21]","[32, 29, 30, 39]","[67, 63]"
"[0, 21]","[35, 29, 39]",[63]
"[8, 21]","[32, 29, 31]","[65, 63]"
[22],"[35, 39, 42, 29, 30, 31]","[64, 63]"
"[21, 23]","[28, 29]",[63]
"[0, 16, 18]","[28, 29, 30]","[64, 63]"
"[0, 4, 10, 13, 16, 21]","[28, 29, 39]",[63]
"[0, 3, 9, 16, 26]",[29],[90]
"[21, 23]","[35, 29]",[63]
[16],"[40, 29]",[63]
"[12, 21]","[40, 42, 31]",[63]
"[16, 3, 11, 21]","[29, 38]",[]
[21],"[32, 40, 29, 39]",[63]
"[16, 0, 3, 21]",[40],"[90, 63]"
"[0, 21]","[32, 33, 39, 40, 29]","[81, 63]"
"[0, 10, 3, 21]","[28, 29, 31]",[63]
[21],"[40, 31, 39]","[90, 63]"
"[16, 17, 23]","[32, 38, 39, 40, 41, 29, 30]","[65, 57, 63]"
"[0, 10, 20, 21]","[32, 35, 28, 29]",[]
[21],"[32, 35, 29, 31]",[63]
"[2, 11, 15, 16, 21]","[39, 28, 29, 30, 31]","[90, 63]"
[21],"[32, 29, 39]",[63]
"[4, 21]","[32, 29]",[63]
[23],"[28, 31, 39]","[67, 63]"
"[0, 4, 10, 13, 16]",[29],[]
"[26, 21]","[40, 32, 29, 38]",[63]
"[0, 21]",[29],[64]
"[0, 4, 12]",[],[57]
"[16, 4]",[32],[]
"[0, 12]","[32, 33, 39, 28, 31]","[65, 63]"
[21],"[40, 28, 29, 39]",[]
"[13, 3, 21, 6]",[30],[63]
"[0, 3, 4, 21]","[29, 30]",[65]
"[11, 4]","[28, 30]",[77]
[0],"[35, 28, 29, 30, 31]",[64]
"[3, 2, 26, 21]",[29],[]
[21],"[40, 29, 30]",[65]
[21],"[39, 31]",[]
"[0, 3, 21, 6]",[30],"[90, 70, 63]"
"[16, 3, 21]",[],"[90, 63]"
[21],[],"[90, 63]"
"[8, 21]","[40, 29]",[]
[],[],"[90, 63]"
"[3, 21]",[],[]
"[0, 12]","[40, 29, 30]",[63]
[21],"[40, 29]",[90]
"[0, 2, 3, 8, 12, 14]",[32],[]
[21],[],[86]
"[4, 21]","[29, 39, 31]",[]
[21],[31],[63]
"[0, 4, 8, 10, 21]","[29, 28, 31, 39]",[63]
"[0, 3, 21]","[29, 31]",[90]
[],"[40, 28, 29, 30]",[64]
[11],"[42, 35, 29, 39]",[63]
"[16, 12, 4, 20]","[32, 29, 39]",[63]
[],"[40, 29]",[]
[21],[40],"[46, 63]"
"[0, 8]",[39],"[86, 63]"
"[0, 13, 21]",[],[63]
[21],"[28, 29, 30, 39]",[63]
"[3, 6, 21, 22, 26]","[32, 28, 29, 39]",[63]
"[12, 21, 14]",[40],[90]
[16],"[32, 40, 29]",[63]
"[0, 2, 3, 21, 26]","[39, 40, 28, 29, 30]","[90, 63]"
"[8, 2, 6]",[],"[65, 63]"
[],[],[]
"[0, 10, 6, 7]","[33, 28]",[63]
[11],"[40, 42, 29, 39]","[68, 63]"
"[0, 3, 16, 20, 21]","[40, 39]",[63]
"[16, 21]","[29, 31]",[]
"[0, 8, 20, 21]","[29, 30]",[]
[21],[28],[64]
"[0, 10]","[32, 33, 39, 40, 29]",[63]
[],[],[]
[3],[29],"[90, 63]"
[21],[39],[]
"[16, 18, 21]","[32, 35, 40, 29, 31]","[68, 63]"
"[8, 4]",[],[]
"[0, 21]","[31, 29, 39]","[81, 90, 63]"
[21],[],[]
"[0, 12, 21]","[29, 39]",[63]
"[4, 10, 11, 13, 16, 20]","[32, 40, 35, 30]",[64]
[21],[32],[63]
"[0, 21]","[29, 39]","[90, 63]"
"[0, 3, 4, 8, 16, 26]",[31],[63]
"[8, 26, 11, 21]","[35, 29]",[]
"[0, 18, 20, 21]","[29, 31]",[]
"[0, 20, 21, 23]","[29, 39]","[44, 63]"
"[0, 3, 4, 13, 21]",[29],[]
"[8, 0, 12, 21]","[32, 29, 39, 31]",[63]
"[0, 3, 4, 12, 26]",[],[]
[],[],"[90, 63]"
"[16, 21]","[40, 32]",[63]
[11],"[40, 29, 31]",[63]
"[0, 8, 11, 20, 21]","[29, 30]","[64, 84]"
[21],"[32, 28, 29, 31]","[65, 90, 67, 63]"
[21],[39],[63]
"[0, 8, 12, 21]",[29],[63]
"[0, 4, 21]","[35, 28, 29]","[90, 63]"
[21],[],"[81, 82, 83, 84]"
"[16, 4, 21]","[39, 28, 29, 30, 31]","[64, 90, 63]"
[],[],[]
"[0, 3, 4, 21]","[29, 30]",[65]
"[4, 21]",[],[]
"[11, 3, 20, 21]",[29],[65]
[8],"[30, 39]",[64]
[21],[40],[63]
"[11, 20]","[29, 30, 39]","[90, 63]"
"[0, 4, 10, 16, 26]",[29],[63]
[],[],[81]
[21],[39],[63]
"[0, 3, 8, 12, 13, 14, 16, 21]",[35],[90]
[21],"[28, 29]",[]
"[21, 23]","[32, 35, 29, 39]","[65, 63]"
[21],[],[63]
"[16, 12, 14, 15]",[29],[65]
[0],"[32, 33, 38, 39]","[90, 86, 63]"
"[12, 21]","[32, 33, 39, 40, 29]","[90, 63]"
"[0, 26, 4, 21]","[40, 32, 30, 31]","[90, 62, 63]"
"[0, 3, 4, 16, 21]","[35, 29, 39]","[78, 63]"
[],[32],[]
"[1, 2, 4, 16, 21]",[35],"[67, 46, 63]"
[21],[],[63]
"[0, 11, 21]","[32, 28, 29, 30, 31]",[63]
"[1, 6]",[28],"[90, 67]"
[],[],[63]
"[0, 10, 2, 21]","[29, 31]",[68]
"[3, 4, 14, 16, 21]","[40, 35, 29, 39]","[90, 63]"
[21],[],[63]
"[3, 21]",[],[63]
"[0, 21]","[32, 31, 29, 39]",[63]
"[8, 0]",[],[]
"[0, 21]",[],[63]
[],[32],[]
"[8, 21]","[40, 29]",[]
"[16, 4, 21, 23]","[28, 30, 39]","[90, 63]"
"[0, 4, 16, 20, 21]",[29],[63]
"[16, 2, 3, 21]","[40, 31]",[]
[],[29],[63]
[21],[39],[63]
[21],[32],[63]
[],[],[63]
"[8, 26, 3, 12]",[29],[90]
"[3, 4, 21]","[42, 28, 29, 30, 31]",[]
[21],"[32, 33, 29, 39]","[68, 63]"
"[0, 21]","[40, 28]","[81, 82, 83, 84, 85, 63]"
"[8, 17, 21]","[29, 39]","[81, 85, 63]"
[0],"[32, 29, 39]","[48, 85, 63]"
"[4, 21]",[29],"[90, 63]"
[21],[],[64]
"[16, 11, 21, 15]","[29, 31, 28, 39]",[63]
[26],[31],[90]
[21],[39],[65]
[21],[],"[83, 63]"
"[0, 3, 4, 21, 23, 26]","[32, 35, 39, 40, 42, 28, 29, 31]","[90, 63]"
[],[],[]
"[16, 21, 23]",[29],"[50, 45]"
[21],[29],[63]
"[4, 21]","[40, 28, 30]","[64, 65]"
"[10, 21]","[40, 35, 29, 31]",[]
"[3, 4, 21, 6]","[28, 29, 31]",[]
"[12, 21, 22]",[28],[83]
"[16, 21]",[],[63]
"[8, 21]",[29],[90]
"[0, 3, 21, 6]","[40, 29, 30]","[90, 70, 63]"
"[16, 21]",[],[63]
"[4, 13, 16, 21, 22, 23, 24]","[35, 39, 28, 29, 30]","[64, 63]"
"[16, 3, 21]",[],[63]
"[0, 21]",[40],[63]
[4],"[39, 29, 31]",[]
[21],[],[]
"[4, 20]","[32, 35, 29, 30]",[]
[0],[],"[90, 67]"
"[0, 21]",[28],"[81, 82, 83, 84, 85]"
"[0, 21, 23]","[31, 29, 30, 39]",[]
[21],[32],[57]
[20],"[40, 29, 30]",[]
[21],"[40, 35, 29]",[63]
[21],"[29, 39]",[63]
[21],[32],[63]
"[0, 27, 4]","[32, 28, 29, 31]","[90, 86, 63]"
"[4, 21]",[29],"[77, 63]"
"[3, 2, 26, 21]",[29],[]
"[16, 3, 4, 21]","[40, 32, 29, 31]",[]
[],"[28, 31]","[81, 74, 85, 63]"
"[16, 3, 4, 21]","[40, 32, 29, 31]",[]
"[0, 26, 3, 21]","[31, 29, 39]",[]
"[0, 11, 21]","[36, 29, 39]","[64, 63]"
[21],[40],[]
[],"[32, 29]","[64, 62]"
[20],[],[]
"[0, 11, 20, 21]","[28, 29]","[90, 63]"
[],[28],[64]
"[0, 26, 4, 21]",[35],[65]
"[0, 3, 6, 8, 12, 18, 21]",[30],"[81, 82, 83, 84]"
[],[],[]
[],[39],[63]
[],[],[]
"[0, 21]","[31, 29, 39]",[63]
"[3, 21]","[40, 29, 39]","[68, 63]"
"[4, 21]","[31, 29, 39]",[63]
[23],"[32, 29, 30]","[68, 63]"
"[4, 21]",[],[63]
"[0, 3, 4]",[39],[90]
[21],[],[74]
[21],"[32, 40, 29]",[63]
"[16, 21]","[32, 29, 31]",[67]
[21],[],"[90, 86, 63]"
[21],[39],"[90, 63]"
[21],[32],[63]
"[0, 3, 15, 16, 21]",[32],[63]
"[0, 3, 12, 16, 21]","[29, 39]","[90, 63]"
"[8, 0, 21]","[40, 28, 29]","[90, 86, 63]"
"[0, 18, 21]",[40],[63]
"[16, 0, 4]","[32, 40, 29, 31]",[63]
[21],[],[63]
"[21, 15]",[29],[]
[23],[],[86]
[21],"[39, 42, 28, 29, 31]","[90, 63]"
"[2, 11, 15, 16, 21]","[29, 30, 31]","[90, 63]"
"[8, 16, 3]","[35, 29, 31]",[]
[],[32],"[74, 63]"
"[0, 3, 19, 20, 21]","[32, 29, 39]",[63]
"[0, 3, 4, 16, 20, 26]","[29, 30, 39]",[63]
[],[],[]
"[16, 3, 4, 21]","[32, 29, 31]",[63]
"[2, 6, 8, 15, 21, 26]","[35, 28, 29, 30]","[90, 82, 63]"
[],[29],[]
"[16, 21]","[29, 39]",[90]
"[0, 3, 21]","[40, 31, 29, 39]",[65]
"[16, 0, 26, 21]","[29, 30, 39]","[88, 90, 63]"
"[3, 21]",[39],[63]
[26],[29],"[65, 63]"
[21],[40],[]
"[0, 16, 4, 21]","[28, 29]",[]
"[0, 3, 4, 21]","[29, 39]",[]
[26],"[40, 29]",[63]
"[11, 21]","[35, 31, 29, 39]",[63]
[0],[],[63]
"[0, 26, 3]","[29, 30]","[90, 63]"
"[0, 8, 11, 12, 16, 21, 26]",[40],"[88, 90, 87]"
"[21, 20, 13]","[29, 30]","[64, 65, 67, 63]"
[],[],[]
[3],[40],[]
[21],"[32, 39]","[90, 63]"
[21],"[40, 42, 29, 39]",[63]
"[0, 10, 3, 21]","[40, 42, 28, 29]","[88, 90, 87, 63]"
"[0, 26, 4, 21]",[35],"[90, 67]"
[10],"[40, 29]",[65]
[21],"[29, 30]",[]
"[0, 21]",[],"[65, 63]"
"[0, 3, 12, 16, 21]","[29, 39]","[90, 63]"
"[0, 4, 21]",[29],[]
[],[],[63]
"[0, 13, 21]","[28, 29]","[89, 90, 63]"
"[0, 26, 3, 21]","[40, 28, 29, 30]",[90]
"[16, 15]","[32, 42, 29, 30, 31]","[67, 63]"
[],[],[]
"[2, 8, 16, 21, 26]","[32, 38, 39, 40, 42, 28, 29, 30]","[90, 86, 63]"
[21],[31],"[90, 63]"
[],[],[63]
"[0, 4, 12, 21]","[32, 31]","[86, 63]"
"[16, 4, 21]","[32, 29, 30]",[]
"[1, 12, 21, 23]","[31, 39]","[64, 63]"
"[18, 21]","[35, 29, 39]","[65, 63]"
"[26, 21]","[28, 29, 39]",[90]
[],[],[63]
"[16, 12, 21, 23]","[31, 29, 30, 39]","[90, 86, 63]"
"[0, 10, 11, 21, 26]","[40, 29, 39]",[63]
"[8, 16, 18]","[32, 35, 39]","[81, 65, 63]"
"[11, 4, 21]","[42, 29, 30, 39]","[44, 63]"
"[0, 3, 16, 20, 21]","[40, 39]",[63]
[],[],[63]
"[0, 2, 3, 13, 16, 21]","[28, 29, 38, 31]","[70, 63]"
"[0, 21]","[29, 39]","[90, 63]"
[21],[],[]
[21],"[32, 40, 29]",[63]
[21],"[32, 40]","[90, 52, 63]"
[21],[],[]
"[3, 14, 15, 16, 20, 21]","[29, 30, 39]",[]
[21],"[40, 29]",[]
[21],[],[90]
"[21, 23]","[42, 29, 30, 39]",[63]
"[4, 21]",[31],[]
"[0, 8]",[],[63]
"[0, 3, 6, 11, 21, 23]","[32, 39]","[64, 65, 83, 89, 90, 63]"
[4],"[28, 31]",[]
[21],"[32, 41, 35, 29]",[63]
[21],"[32, 33, 40, 28, 29]","[90, 63]"
[21],[39],[63]
"[26, 4, 21]","[32, 29]",[]
[],[40],[63]
"[0, 21]","[33, 35]","[64, 63]"
"[0, 26, 3, 21]",[],"[90, 63]"
"[0, 8, 11, 20, 21]","[29, 30]","[64, 84]"
"[12, 21]","[28, 29]",[63]
"[0, 4, 21]","[32, 35, 28, 39]","[64, 57, 78, 63]"
"[0, 8, 21]",[29],"[88, 90]"
[21],"[29, 39]","[86, 63]"
[8],"[29, 30]",[65]
[21],[],[63]
"[4, 21]","[28, 31, 29, 39]","[65, 90, 63]"
"[0, 2, 3, 4, 21, 26]","[28, 39]","[65, 90, 63]"
"[4, 21]","[28, 31]","[65, 63]"
"[13, 3, 21, 6]",[30],[63]
"[8, 20, 21, 14]","[31, 39]",[]
"[3, 18, 2, 13]",[],"[82, 63]"
[21],[32],"[90, 86, 63]"
"[21, 6]","[29, 39]",[63]
"[16, 18, 12]","[29, 30]",[]
"[0, 2, 3, 21, 26]","[29, 39]","[90, 63]"
"[16, 26, 3, 12]","[28, 29]",[90]
"[16, 21, 4, 13]",[35],[65]
"[0, 3]",[],[83]
[],[29],[]
"[26, 2, 13]",[39],[90]
[0],"[39, 28, 29, 30, 31]",[]
"[2, 22]","[29, 38, 31]","[90, 63]"
[10],[],[63]
"[0, 21]","[29, 39]","[90, 63]"
"[3, 21]",[],[]
"[3, 21]","[40, 29]",[]
[21],"[32, 38, 40, 29, 31]","[90, 67]"
[3],"[39, 40, 42, 28, 29]","[90, 67, 63]"
"[16, 10, 4, 13]","[35, 29, 31]",[63]
"[12, 21]","[32, 33, 31, 39]",[63]
[21],"[29, 30, 31]","[65, 63]"
"[27, 4, 21, 23]","[32, 39, 40, 28, 29, 30, 31]","[65, 63]"
[],[],[]
[21],"[32, 40]","[64, 63]"
"[4, 21]","[32, 38, 39]",[63]
"[5, 21]","[32, 39, 42, 29, 30, 31]",[]
"[0, 2, 11, 21]",[40],"[64, 63]"
"[0, 10, 21]",[29],"[90, 86, 63]"
"[0, 16, 20, 21]","[28, 29, 30, 39]",[63]
"[0, 3, 16, 21, 26]",[],[90]
"[0, 3, 4]","[29, 39]","[48, 63]"
"[16, 18, 21]","[32, 29]","[64, 65, 57]"
[21],[40],[]
"[11, 21]",[28],[63]
[8],"[28, 31, 30, 39]",[]
"[4, 21, 23]","[32, 29, 31]",[]
"[12, 23]",[29],[90]
"[0, 3, 15, 18, 21]",[40],[90]
[],[],[]
"[3, 4, 10, 13, 14, 20, 21]","[29, 39, 30, 31]","[65, 63]"
"[10, 4]","[28, 29]","[64, 63]"
[],"[32, 29]","[48, 86]"
"[26, 21]","[32, 31, 38, 39]",[63]
"[16, 4]",[],[63]
"[16, 0, 21, 23]",[31],"[90, 83, 63]"
[21],[],[]
[],"[32, 33]",[63]
"[0, 4, 16, 21, 26]","[29, 30]",[63]
"[11, 21]","[40, 29]",[63]
[3],"[32, 40]",[]
"[0, 2, 6, 10, 16, 21, 26]","[40, 28, 29, 30]","[90, 83, 63]"
"[0, 26, 3, 21]",[],[63]
[],[39],[63]
[21],"[31, 29, 39]",[]
"[0, 8, 16, 20, 23]","[28, 29]","[90, 63]"
"[0, 26, 3, 21]",[],"[90, 63]"
"[11, 3, 4, 21]","[40, 31, 29, 39]",[63]
[0],[28],[]
[],[],[63]
"[3, 21]",[40],[90]
"[11, 6]","[28, 30]","[64, 63]"
"[0, 3, 10, 21, 26, 27]","[35, 29, 30, 39]",[63]
[21],[],[]
"[0, 8, 6]",[29],[63]
[21],[],[]
[],[],[90]
[4],"[29, 31]",[]
[26],"[29, 31]",[90]
"[16, 0, 21, 23]","[32, 28, 29, 39]","[64, 63]"
"[0, 16, 3]","[29, 38]",[]
"[4, 13]","[32, 35, 29]",[46]
[10],"[29, 30]",[]
"[24, 8, 12, 0]","[35, 29, 30]",[90]
[21],[],[]
[],"[31, 39]",[85]
"[0, 26, 3, 21]",[],"[90, 63]"
"[0, 10, 21]","[35, 38, 39, 40, 29]",[63]
"[0, 11, 21]","[32, 40, 28, 29, 30]","[64, 63]"
[],[31],[]
"[0, 10, 21]","[32, 40, 29]",[90]
"[0, 26, 3, 21]",[31],"[90, 63]"
"[0, 4, 13, 16, 21]","[39, 28, 29, 31]",[63]
"[0, 26, 3, 21]",[31],"[90, 63]"
"[20, 6]",[40],"[84, 63]"
"[0, 3, 4, 11, 21]","[29, 31]",[63]
"[0, 11, 13, 16, 20]","[28, 29, 30]",[]
"[16, 1, 21, 8]","[28, 29, 30, 31]",[]
"[3, 21]","[40, 35, 29, 39]","[65, 63]"
"[0, 15, 23]","[32, 38, 39, 29, 31]","[44, 86, 63]"
"[0, 4, 11, 16, 21]","[28, 29, 39]","[65, 63]"
"[0, 8, 21]","[32, 28, 38, 31]",[90]
"[26, 4, 21]",[40],[63]
"[8, 21]",[29],[90]
[21],"[32, 39, 40, 42, 29]","[67, 70, 63]"
[21],"[35, 29, 30, 39]","[65, 63]"
"[0, 4, 8, 11, 12, 22]","[28, 30, 31]",[]
"[0, 16, 21, 15]","[28, 29, 31]",[88]
[21],"[31, 39]","[48, 46]"
"[3, 21, 6]","[32, 35, 29, 31]","[65, 67, 63]"
[],"[32, 33, 35, 39, 42, 29, 30]",[63]
"[16, 11, 4, 20]","[29, 30, 39]",[]
"[3, 21]",[29],[]
[],"[32, 29, 39]",[]
"[26, 2, 3, 21]",[29],[]
"[0, 3, 19, 20]","[32, 29]",[]
[12],"[32, 29, 39]","[86, 63]"
[21],"[29, 39]",[63]
[21],[],[]
"[26, 3, 21]",[29],"[65, 63]"
[],[29],[]
"[4, 6, 13, 21, 22]","[28, 29]","[64, 81, 82]"
"[8, 26, 3, 21]",[40],"[90, 63]"
[],[29],[]
"[26, 18, 3, 21]",[30],[]
[21],[40],"[82, 90, 63]"
"[2, 21]","[40, 29, 39]","[65, 90]"
[20],"[35, 39, 40, 29, 31]","[64, 65, 63]"
[14],[35],"[67, 63]"
[21],"[42, 29, 30, 39]",[63]
"[0, 26, 4, 21]",[35],[88]
[20],"[42, 29, 38, 31]",[]
"[12, 21]","[39, 42, 28, 29, 31]",[]
"[0, 3, 4, 6, 21]",[],"[65, 90, 63]"
"[8, 21]","[33, 39, 40, 29, 31]","[77, 63]"
[21],[39],[]
"[0, 3, 4, 6, 10, 16, 21]","[40, 29, 30]","[90, 63]"
[],[],[]
"[12, 21]","[32, 40, 29]",[67]
"[12, 4, 21]","[32, 33, 35, 38, 28, 29, 31]","[65, 74, 63]"
"[4, 21]","[40, 28]",[64]
[0],[29],[]
"[2, 26, 21, 23]","[35, 29]",[]
[8],"[29, 31]",[]
"[16, 0, 11, 21]",[29],[63]
[],"[40, 35, 29]",[]
"[0, 2, 3, 13, 16, 21]","[28, 29, 38, 31]",[63]
[],[],[]
[21],"[32, 40]",[]
"[10, 13, 21]","[28, 29]","[81, 82, 63]"
[],[],[]
"[8, 4, 21]",[],[63]
[],[],[63]
"[8, 21]","[40, 30, 39]",[63]
"[4, 14]",[],[]
"[0, 4, 21]",[29],[63]
[],[39],[63]
"[0, 4, 11, 13, 16, 20]","[28, 29, 31]",[63]
"[11, 12]","[35, 29, 31]",[]
"[16, 0, 10]","[35, 29]",[63]
[21],[],[63]
"[16, 18, 3, 4]",[39],"[65, 63]"
"[16, 4, 20, 23]","[39, 28, 29, 31]","[64, 89, 66, 63]"
[21],[],"[68, 63]"
[21],[],[90]
"[2, 21]","[32, 29, 31]",[63]
"[0, 3, 6]",[40],[63]
"[0, 3, 14, 18, 21, 26]",[39],"[65, 90, 63]"
[],"[32, 29]","[67, 63]"
"[8, 16]","[35, 29]",[]
"[0, 3, 21]","[35, 29]",[49]
"[8, 0, 16]",[29],[]
"[10, 21]","[39, 40, 42, 28, 29]",[63]
"[16, 18, 21]",[29],[]
"[16, 3, 21, 6]","[40, 28, 29, 39]","[67, 87, 88, 90, 63]"
[],"[32, 29, 38]","[48, 90, 64]"
"[0, 21]","[35, 29, 39]",[63]
[],"[32, 39]",[63]
[21],"[40, 28, 29]","[90, 83, 84, 63]"
[21],[39],"[81, 63]"
"[4, 21]",[],[]
"[16, 3, 4]","[29, 31]",[63]
"[0, 26, 3, 21]","[32, 29, 31]",[63]
[],[],[]
"[8, 21]",[28],[63]
[11],[29],[]
"[11, 4]",[29],"[64, 63]"
"[0, 21]","[32, 29, 30, 39]",[63]
"[0, 21]","[29, 39]","[90, 63]"
[],[],"[64, 63]"
[21],[],[]
"[13, 21]",[40],[63]
"[20, 21]","[29, 30, 39]","[90, 63]"
"[3, 8, 12, 21, 26]",[29],"[90, 63]"
"[0, 11, 21]","[32, 29, 31]",[63]
"[0, 6]","[28, 29]","[90, 63]"
"[8, 3, 21]",[],"[83, 63]"
"[0, 10, 11, 16, 20, 21, 26]","[32, 28, 29, 30]","[62, 63]"
"[0, 21]","[29, 39]","[90, 63]"
"[4, 12, 13, 16, 21]","[28, 29, 30]","[90, 63]"
"[0, 6, 11, 13, 21]","[32, 28, 29, 30]","[64, 68, 63]"
[21],"[40, 28]",[63]
"[0, 13, 27, 21]",[29],[63]
[],[28],[]
[21],"[29, 39]","[86, 63]"
"[2, 3, 8, 10, 21]","[40, 31, 39]",[63]
[21],[],[]
[21],"[32, 29]",[]
"[0, 3, 4, 8, 16, 21]","[32, 29, 31]",[63]
[21],[],[]
[21],"[40, 39]",[]
"[0, 2, 4, 10, 14, 21]","[32, 28, 29, 30, 31]","[64, 63]"
"[12, 27, 4, 21]","[40, 28, 29, 31]",[]
"[18, 11, 4, 21]","[28, 30]",[77]
"[0, 2, 3, 13, 16, 21]","[38, 40, 28, 29, 31]",[]
[21],"[40, 29, 30]",[65]
"[11, 3]","[32, 40, 29]","[65, 63]"
"[4, 21]","[32, 33, 37, 29]",[63]
"[0, 21]","[29, 39]","[88, 90, 87, 63]"
"[8, 4, 12]","[29, 31]",[]
[],"[40, 32, 29, 31]",[]
"[0, 4, 13, 23]","[40, 29, 31]","[90, 86]"
"[0, 8, 11, 20, 21]","[29, 30]",[64]
"[0, 21]",[],[63]
"[8, 21]","[32, 39]","[57, 63]"
"[0, 11, 20, 21]",[29],[63]
[4],"[28, 29, 30, 39]",[]
[21],[],[90]
"[16, 3, 21]","[32, 29, 31]","[90, 63]"
"[3, 4, 21]",[],[]
"[0, 2, 12, 14]",[],[]
[21],[],"[65, 63]"
"[16, 4, 21]","[40, 29, 39]","[90, 63]"
"[16, 18, 21]","[32, 40, 29]",[57]
"[0, 3]",[],[63]
[21],[32],[63]
[21],"[40, 28, 29, 30]",[63]
[21],[],"[82, 84]"
"[13, 10, 4, 21]",[29],[63]
[21],[39],"[68, 63]"
[21],[39],[63]
"[8, 21]",[29],[90]
[23],[],[63]
"[0, 4, 11, 13, 20, 21]","[40, 29, 30, 31]",[]
[21],[],[63]
[],[],[63]
[21],"[32, 29, 30, 39]",[63]
"[13, 12, 21]","[32, 29, 30]","[57, 90, 67, 63]"
"[16, 4, 6]","[40, 28]","[81, 82, 83, 84, 85]"
"[0, 3, 11, 12, 21]","[28, 29, 31]",[63]
"[0, 4, 13, 16, 21]","[32, 29]",[]
"[3, 26, 2, 21]","[32, 29]","[90, 63]"
"[0, 2, 4, 21]","[32, 30]",[63]
"[4, 21]","[32, 28, 29, 30]","[67, 63]"
"[11, 0, 3]",[],[]
"[0, 21]","[28, 29, 38, 39]","[68, 63]"
[21],"[32, 35, 38, 39, 29, 30]",[63]
"[0, 3, 20, 21, 26]","[35, 29, 31]",[]
[21],[],[]
[],[],[]
[],[],[]
"[0, 3, 6]",[],[90]
"[0, 26, 4, 21]",[],[]
[21],[],[]
"[3, 21]",[],[63]
"[0, 3, 20, 21]","[40, 29, 30, 39]","[90, 63]"
"[0, 8]",[40],[63]
"[3, 21]","[40, 30, 39]","[90, 63]"
"[12, 4, 21, 23]","[40, 29, 30, 39]",[]
"[3, 20]",[39],"[65, 90, 63]"
"[4, 21]","[32, 30]",[64]
"[21, 6]","[40, 35, 29]",[]
"[8, 13, 4, 21]","[28, 29, 30]",[64]
"[20, 21]","[39, 40, 42, 29, 30]","[90, 63]"
[],[],[63]
[21],[],[83]
"[0, 4, 11, 16, 21]","[32, 33, 35, 39, 40]","[90, 63]"
[],"[28, 29, 30]",[63]
"[0, 16, 21]",[28],[64]
"[4, 21]","[29, 30, 39]",[83]
"[3, 14, 16, 20, 21, 23]","[39, 40, 29, 30, 31]",[63]
[23],[28],[63]
"[16, 8, 15]",[29],[]
[],[28],[63]
"[0, 21]","[29, 39]","[88, 63]"
"[16, 13, 3, 21]",[],[]
[21],[29],"[90, 86, 63]"
"[20, 21]",[],[]
"[16, 1, 8]","[28, 29]","[67, 63]"
"[8, 21]",[29],[90]
"[0, 3, 21]","[40, 29]",[63]
"[0, 8, 11, 16, 21]","[35, 28, 29, 30, 31]","[65, 63]"
"[0, 21, 23]",[29],[]
"[18, 12]","[29, 28, 39, 31]","[65, 74, 90, 63]"
[],[],[63]
[5],"[32, 29, 39]",[63]
[],"[35, 31, 29, 39]",[]
"[10, 21]","[39, 40, 28, 29, 30]","[82, 63]"
"[2, 3, 12, 21]","[28, 29, 39]","[48, 86, 63]"
"[16, 0, 12, 21]","[32, 38, 39, 40, 29]","[81, 90, 63]"
"[0, 3, 10, 22, 26]","[32, 43, 29]",[63]
"[16, 3, 21]","[40, 33, 29, 39]",[63]
[21],[],[64]
[],[],[]
"[4, 13, 16, 20, 21, 26]","[29, 39]",[63]
"[4, 13, 16, 20, 26]","[29, 39]",[63]
"[3, 8, 12, 13, 14, 16, 21]","[40, 35, 29]","[90, 63]"
[21],[],[63]
"[16, 3, 4, 21]","[40, 32, 29, 31]",[]
[],[31],[90]
[21],[],[86]
"[0, 26, 4, 21]",[35],[63]
"[16, 4, 21]","[32, 35, 29, 30]","[64, 90]"
"[0, 26, 3, 21]",[40],[64]
[11],"[32, 29, 30]",[]
"[3, 4, 21]","[40, 39, 31]","[90, 63]"
"[0, 18]",[],[]
"[8, 21]",[29],[90]
[],[],"[90, 63]"
"[0, 5, 8, 11, 12, 14]",[28],[64]
"[16, 21]",[40],[64]
"[0, 26, 4, 21]","[40, 35, 39]",[]
"[0, 2, 3, 8, 26]","[29, 39]",[63]
[21],[],"[70, 63]"
"[0, 2, 6, 10, 15, 16, 21, 26]","[32, 39, 40, 29, 31]",[]
"[0, 2, 3, 12, 21, 26]","[42, 29, 39]","[82, 90, 63]"
